Date,Total Rainfall Mm,Mean Air Temperature in Celsius,Mean Vapour Pressure Hpa,Mean Wind Speed M/Sec,Days Of Wind Gust >= 24 Knots in Day,Standard Deviation Of Daily Mean Temperature in Celsius,Year,Month,Period start,Selected business demand (GWh),Est. Total consumption (GWh),Export prices,Export volumes,Export values,Import prices,Import volumes,Import values,Population
2013-10-01,131.16666666666666,13.366666666666667,12.633333333333333,6.6000000000000005,22.333333333333332,1.9000000000000001,2013.0,10.0,1/10/13,263.127,193.444,1182,1345,"12,898",851,2014,"12,299",304800.0
2013-11-01,74.03333333333333,15.6,14.1,5.366666666666667,15.333333333333334,2.0,2013.0,11.0,1/11/13,252.6,165.441,1182,1345,"12,898",851,2014,"12,299",304800.0
2013-12-01,76.66666666666667,17.099999999999998,15.066666666666668,5.533333333333334,17.666666666666668,1.7,2013.0,12.0,1/12/13,257.138,154.95,1182,1345,"12,898",851,2014,"12,299",304800.0
2014-01-01,88.8,16.433333333333334,14.166666666666666,6.3999999999999995,23.0,1.7333333333333334,2014.0,1.0,1/01/14,260.622,150.623,1191,1356,"13,105",842,1828,"11,049",309300.0
2014-02-01,21.46666666666667,18.033333333333335,15.266666666666666,5.666666666666667,13.5,1.7,2014.0,2.0,1/02/14,249.18,138.484,1191,1356,"13,105",842,1828,"11,049",309300.0
2014-03-01,27.46666666666667,16.099999999999998,13.733333333333334,5.3,17.333333333333332,2.3666666666666667,2014.0,3.0,1/03/14,275.595,159.077,1191,1356,"13,105",842,1828,"11,049",309300.0
2014-04-01,150.76666666666665,15.733333333333334,14.566666666666668,5.533333333333334,16.0,2.2333333333333334,2014.0,4.0,1/04/14,252.764,172.069,1164,1339,"12,654",823,1962,"11,585",309300.0
2014-05-01,79.60000000000001,12.433333333333332,12.200000000000001,5.333333333333333,19.5,2.6,2014.0,5.0,1/05/14,269.913,208.077,1164,1339,"12,654",823,1962,"11,585",309300.0
2014-06-01,70.4,11.6,11.5,4.7,14.333333333333334,1.9000000000000001,2014.0,6.0,1/06/14,253.724,225.018,1164,1339,"12,654",823,1962,"11,585",309300.0
2014-07-01,53.6,9.033333333333333,9.433333333333334,5.466666666666666,17.666666666666668,2.466666666666667,2014.0,7.0,1/07/14,280.693,253.355,1111,1143,"10,313",823,2195,"12,961",309300.0
