Date,Station,Total Rainfall Mm,Mean Air Temperature in Celsius,Mean Vapour Pressure Hpa,Mean Wind Speed M/Sec,Days Of Wind Gust >= 24 Knots in Day,Standard Deviation Of Daily Mean Temperature in Celsius
2011-12-01,11104,15.2,14.4,12.6,4,10,2.4
2011-02-01,11104,100.8,14,12.9,4.4,14,2.3
2011-01-01,11104,123.4,14.4,12.9,5.5,18,1.6
2011-07-01,11104,183.2,5.5,7.5,4.7,19,1.9
2011-06-01,11104,52.4,6.2,8.2,3.9,10,2.2
2011-03-01,11104,134,12.6,11.4,4.4,14,2
2011-05-01,11104,136.8,9.5,10.3,4.7,15,1.8
2011-11-01,11104,135.8,10.6,10.6,5.9,23,2.4
2011-10-01,11104,84.2,10.2,9.4,4.6,15,2.3
2011-09-01,11104,113.4,8.4,9.1,5.3,18,1.9
2012-04-01,11104,52.2,11.8,10.8,3.6,9,2.3
2012-08-01,11104,16.6,7.4,8.1,2.8,-,1.7
2012-12-01,11104,118.8,13.8,12.1,5.3,22,2
2012-02-01,11104,67.6,14.1,13.4,3.7,7,2.3
2012-01-01,11104,119.4,13.9,11.8,6.6,27,2.6
2012-07-01,11104,31.4,6.2,7.4,3.1,8,2.9
2012-06-01,11104,129.4,5.5,7.5,4.9,16,2.6
2012-03-01,11104,102.6,11.3,10.1,3.8,-,1.8
2012-05-01,11104,98.8,8.5,8.9,3.9,12,2
2012-11-01,11104,77.6,11,9.9,5.6,19,2.3
2012-10-01,11104,175.2,9,9.1,7,27,1.8
2012-09-01,11104,109,9.5,9.1,4.6,17,2.5
2013-04-01,11104,93.8,11,10.5,4.5,-,2.2
2013-08-01,11104,44.2,8,8.6,3.1,7,1.9
2013-12-01,11104,100,13.9,12.6,5.1,17,2.3
2013-02-01,11104,38.2,14.4,12.8,4.4,12,2.8
2013-01-01,11104,155.2,14.6,12.7,5.3,19,2.6
2013-07-01,11104,109.2,7.7,8.2,4,15,2.5
2013-06-01,11104,98.8,6.5,8.3,3.7,11,1.9
2013-03-01,11104,32,13.9,12.1,3.9,13,2.6
2013-05-01,11104,109.4,8.8,9.3,3.9,11,1.9
2013-11-01,11104,59.6,12.6,11.3,4.4,12,2.2
2013-10-01,11104,177.2,10.7,9.6,5.6,-,2.7
2013-09-01,11104,107.2,8.5,9,4.4,15,2
2014-04-01,11104,97.2,11.3,11,4.2,13,2.9
2014-08-01,11104,104,7.1,7.8,4.5,17,1.9
2014-12-01,11104,68.6,14.2,12,4.2,15,3.2
2014-02-01,11104,60.2,13.9,13.1,4.6,14,2.3
2014-01-01,11104,92.4,12.7,11.7,6.8,25,1.7
2014-07-01,11104,81.8,5.6,7.3,3.7,12,2.6
2014-06-01,11104,52.6,7.5,8.3,3.9,9,1.4
2014-03-01,11104,-,12.7,11.6,4.2,-,1.9
2014-05-01,11104,133.8,8.7,9.1,4.5,17,2
2014-11-01,11104,172.6,10.6,9.6,6,21,2.5
2014-10-01,11104,116.8,10,9.2,5.7,24,2.3
2014-09-01,11104,54.6,8.4,8.7,4.4,13,1.9
2015-04-01,11104,96.8,10.7,10.1,4.2,16,3
2015-08-01,11104,85.2,5.8,7.2,3.4,10,2.1
2015-12-01,11104,88.6,13.3,11.4,6.5,24,2.8
2015-02-01,11104,108,14.2,12.4,4.5,13,3.2
2015-01-01,11104,39.2,15.4,12.4,4.9,15,2.2
2015-07-01,11104,82.4,5.6,6.9,4.2,14,2.3
2015-06-01,11104,119.2,6.2,7.6,5.8,21,2.6
2015-03-01,11104,84.6,12.8,11.4,3.4,12,2.4
2015-05-01,11104,74,8.9,9.1,5,18,2.5
2015-11-01,11104,84,10.9,9.5,5.8,24,2.6
2015-10-01,11104,131.4,10.5,9.2,8.2,28,2.6
2015-09-01,11104,58.4,7.4,8.3,4.5,-,2.2
2016-04-01,11104,112,12.3,11.2,5.2,16,2
2016-08-01,11104,20.8,6.1,7.4,3.1,9,2.4
2016-12-01,11104,64.2,13.4,11,6.1,21,2.5
2016-02-01,11104,97.2,15.9,13.9,4.9,18,2.5
2016-01-01,11104,103,12.9,11.9,5.1,17,2
2016-07-01,11104,118.6,5.8,7.1,4.9,18,2.5
2016-06-01,11104,43.2,7.5,8.2,3.8,13,2.5
2016-03-01,11104,43.6,13.3,12,4.1,13,3.1
