Date,Station,Total Rainfall Mm,Mean Air Temperature in Celsius,Mean Vapour Pressure Hpa,Mean Wind Speed M/Sec,Days Of Wind Gust >= 24 Knots in Day,Standard Deviation Of Daily Mean Temperature in Celsius
2015-10-01,3243,86,12.7,11.8,5,19,1.6
2015-09-01,3243,67.4,10.6,10.3,4.3,14,1.7
2016-04-01,3243,34,14.9,13.4,3.6,9,2.4
2016-08-01,3243,98.2,9.3,9.4,3.7,9,2.1
2016-12-01,3243,57.8,16,13.7,4.1,14,1.9
2016-02-01,3243,34.6,21.2,17.4,4,8,1.5
2016-01-01,3243,75.4,19.1,16.2,4.3,12,1.9
2016-07-01,3243,80.8,9.5,9.6,4.9,19,1.7
2016-06-01,3243,87,10.5,10.8,3.2,7,2.6
2016-03-01,3243,66,18.1,14.8,4.3,12,2
2016-05-01,3243,213,13.9,13.1,4.3,19,2.7
2016-11-01,3243,146.4,14.9,13.3,4.8,20,1.8
2016-10-01,3243,101.6,13.5,12.4,4,14,2.1
2016-09-01,3243,62.6,12.2,11.2,4.7,13,2.5
2017-04-01,3243,192.4,14.6,14.2,3.1,8,2.3
2017-08-01,3243,70.8,10.5,10.6,3.3,8,2.1
2017-12-01,3243,20.1,18.5,15,4.5,18,2.4
2017-02-01,3243,76.8,18.1,15.8,4.6,16,2.1
2017-01-01,3243,95.4,16.9,14.6,5.9,25,2.1
2017-07-01,3243,96.4,8.8,9.3,3.2,11,2
2017-06-01,3243,30.6,9.1,9.6,3.1,6,2
2017-03-01,3243,94.8,17.3,15.2,4.3,16,2
2017-05-01,3243,108.4,11,10.9,2.8,9,2.2
2017-11-01,3243,22.2,15.3,12.7,4.4,13,2.5
2017-10-01,3243,-,13.7,12.5,5,-,1.8
2017-09-01,3243,124.6,11.8,11.4,4.4,17,2.3
2018-04-01,3243,112.5,14.4,13.1,5,-,3
2018-08-01,3243,91,10.3,10.4,3.3,8,1.6
2018-12-01,3243,108.2,17.8,15.9,4.4,12,1.8
2018-02-01,3243,80.2,19.5,16.7,5.1,21,2.6
2018-01-01,3243,156.4,21.6,19.5,3.6,11,1.6
2018-07-01,3243,114.2,9.9,9.9,4,15,2.2
2018-06-01,3243,-,9.2,10,3.9,-,2.9
2018-03-01,3243,84.2,17.4,15.2,4.4,12,2.2
2018-05-01,3243,113.9,11.9,11.8,3.9,17,3.4
2018-11-01,3243,78.5,15.1,13.2,4.5,14,2.4
2018-10-01,3243,57.8,12.7,11.3,3.6,-,1.8
2018-09-01,3243,54.9,11,10.3,4.5,17,1.9
2019-04-01,3243,66.8,13.8,12.3,3.4,9,2.6
2019-08-01,3243,97.9,9.6,9.9,4.4,19,1.8
2019-12-01,3243,91.5,16.9,14.1,4.8,20,1.8
2019-02-01,3243,28,18.1,14.7,4.3,15,2.3
2019-01-01,3243,32.6,19.5,17.3,5.1,20,1.8
2019-07-01,3243,120.1,10,10.3,3.2,13,1.5
2019-06-01,3243,99.7,8.9,9.8,3.2,9,2.7
2019-03-01,3243,32.3,18.4,15.4,4,12,2
2019-05-01,3243,85.2,12.5,12,3.5,11,1.9
2019-11-01,3243,66.9,15.3,13.6,4.3,17,2
2019-10-01,3243,92.8,12.3,11.3,4.9,18,2.3
2019-09-01,3243,-,10.8,10.8,5.2,-,2.2
2020-04-01,3243,39.6,14.2,12.6,3.9,12,1.9
2020-08-01,3243,46.9,10,10,3.8,14,2.4
2020-12-01,3243,-,16,14.6,4.5,-,2.4
2020-02-01,3243,38.6,19.7,15.5,4.5,17,2.4
2020-01-01,3243,22.6,18,14.9,5.1,19,2.6
2020-07-01,3243,60.2,9.3,9.5,4.2,15,2.1
2020-06-01,3243,81.1,11.4,11.3,4.4,16,1.8
2020-03-01,3243,-,16.7,13.4,4.3,18,2.4
2020-05-01,3243,78.3,11.6,11,3.5,6,2.9
2020-11-01,3243,111,15,13.4,4.4,18,2
2020-10-01,3243,82.6,13.7,12.2,4.2,17,2.6
2020-09-01,3243,-,11,10.6,5.2,18,2.5
2021-04-01,3243,54.3,14.7,13.7,3.7,13,2.6
2021-08-01,3243,113,9.7,9.8,3.9,15,1.8
2021-12-01,3243,235.1,18.5,17.4,4.7,17,1.4
2021-02-01,3243,27.8,17.6,14.8,3.9,11,1.8
2021-01-01,3243,102.9,17.9,15.8,4.5,-,2.2
2021-07-01,3243,53.1,9.2,9.4,3.4,10,2.7
2021-06-01,3243,117.1,11.2,11.5,3.6,14,2.4
