Date,Station,Total Rainfall Mm,Mean Air Temperature in Celsius,Mean Vapour Pressure Hpa,Mean Wind Speed M/Sec,Days Of Wind Gust >= 24 Knots in Day,Standard Deviation Of Daily Mean Temperature in Celsius
2011-05-01,2810,122.1,14.7,13.5,2.6,-,2.9
2011-11-01,2810,52.2,16.2,12.6,3.7,14,2.3
2011-10-01,2810,25.2,14.3,12.5,2.8,5,2.2
2011-09-01,2810,17.6,10.8,10,3,8,1.7
2012-04-01,2810,209.6,15.3,15.1,2.7,5,2
2012-08-01,2810,120,10.6,11.3,2.4,4,1.3
2012-12-01,2810,29.2,19.4,15.2,3.3,-,3
2012-02-01,2810,90.5,17.8,16,2.4,1,2
2012-01-01,2810,73.2,19.3,15.3,3.4,-,2.5
2012-07-01,2810,232.8,9.8,10.7,2.4,4,2
2012-06-01,2810,49.2,10.1,10,2.9,7,2.1
2012-03-01,2810,251.8,16.5,15.2,3.2,9,2.5
2012-05-01,2810,54.4,11.3,11.1,2.7,6,2.3
2012-11-01,2810,143.2,14.2,11.3,3,5,2.6
2012-10-01,2810,14.4,14,10.3,3.9,11,2.4
2012-09-01,2810,40.8,11.8,9.9,3.5,-,2.8
2013-04-01,2810,74.2,16.5,13.8,2.3,3,2.4
2013-08-01,2810,218.4,11.7,11.3,2.8,7,1.3
2013-12-01,2810,34.5,19,14.9,3,6,1.7
2013-02-01,2810,15.4,18.2,15.4,2.5,3,2.2
2013-01-01,2810,33.6,19.7,14.8,3.2,7,2.9
2013-07-01,2810,143.2,9.5,9.6,2.5,5,2.1
2013-06-01,2810,94.2,10.5,10.6,2.5,6,2.1
2013-03-01,2810,19.8,18,15.2,2.5,4,2.6
2013-05-01,2810,88.8,12.6,11.7,2.3,-,2.2
2013-11-01,2810,95,16.4,14.5,2.8,5,2.3
2013-10-01,2810,18.4,15,11.8,3.8,10,2.1
2013-09-01,2810,157.6,13.1,11.3,3.6,14,2.8
2014-04-01,2810,170.4,16.5,15.8,2.7,8,2
2014-08-01,2810,162.4,10.2,9.5,3.4,19,2.5
2014-12-01,2810,91,17.6,14.2,2.7,4,3
2014-02-01,2810,30,19.1,15.9,3,6,2.1
2014-01-01,2810,45.4,19,13.1,4,18,3
2014-07-01,2810,-,9.8,9.4,2.8,-,2.2
2014-06-01,2810,154.8,12,11,2.7,5,1.6
2014-03-01,2810,69.8,17.2,14.4,2.8,8,2.5
2014-05-01,2810,58,12.9,11.3,3,9,2.3
2014-11-01,2810,17.2,15.6,11.2,4,17,3.1
2014-10-01,2810,42,13.8,11.2,3.6,15,2.3
2014-09-01,2810,-,12.2,11.6,3,-,1.5
2015-04-01,2810,40.4,15.3,13.8,2.8,7,2.9
2015-08-01,2810,119.8,10.1,9.5,3,6,2.4
2015-12-01,2810,26,16.7,13.3,3,4,2.6
2015-02-01,2810,23.6,18.3,16,2.7,9,2.5
2015-01-01,2810,84,19.6,16.8,2.5,0,2.2
2015-07-01,2810,-,9.1,8.8,2.9,12,2.3
2015-06-01,2810,46.4,10.9,9.7,3.6,14,2.9
2015-03-01,2810,89.4,17.8,15.4,2.6,5,2.6
2015-05-01,2810,53.4,12.1,10.8,3,10,3.2
2015-11-01,2810,94.2,15.6,12.6,3.9,14,3.4
2015-10-01,2810,40.6,14.7,11.1,3.9,17,2.2
2015-09-01,2810,183.2,10.9,10.1,3.3,11,2.2
2016-04-01,2810,112.6,15.2,14.3,2.2,1,2.4
2016-08-01,2810,104.8,10.1,9.8,2.8,8,2
2016-12-01,2810,-,17.9,13.9,3.4,-,1.9
2016-02-01,2810,50,20.9,18.3,2.8,5,2.1
2016-01-01,2810,106.6,20.3,16.7,3.1,8,3.1
2016-07-01,2810,62.6,10.4,9,3.9,16,2
2016-06-01,2810,78.4,11.2,10.3,2.6,5,2.4
2016-03-01,2810,65.4,18.4,16.3,2.5,4,2.3
2016-05-01,2810,36,15.2,12.7,3.6,15,3
2016-11-01,2810,11.6,17,12.4,3.9,16,2.6
